类别 	产品小类 	性质、用途、功效 	适用农作物 												
实际控制人 或主要股东： 	实际控制人为褚现英、王晓燕、褚冰、褚洁 														
与公司合作起始年份： 	2009年 														
合作历史及背景： 	见“河北诚信有限责任公司” 														
企业名称： 	广安诚信化工有限责任公司 														
统一社会信用代码： 	915116006674290084 														
成立日期： 	2007 年 11 月 5 日 														
类型： 	有限责任公司 														
住所： 	四川省广安经济开发区新桥能源化工集中区 														
注册资本： 	5,000万元人民币 														
经营范围： 	生产销售：羟基乙腈、甲醛、氰化钠（安全生产许可证至 2018年 4 月 2 日）。『以下范围法律、法规禁止经营的不得经营；法律、法规规定应经审批而未获审批前不得经营』生产销售：亚氨基二乙腈、草甘膦、双甘膦、硫酸铵、苯胺基乙腈、乙二胺四乙酸、硫酸钠、羟基乙酸，贸易代理，货物进出口（专控除外）。房地产开发经营，物业管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 														
股权结构： 	河北诚信有限责任公司持股 100% 														
实际控制人 或主要股东： 	实际控制人为褚现英、王晓燕、褚冰、褚洁 														
与公司合作起始年份： 	2009年 														
合作历史及背景： 	见“河北诚信有限责任公司” 														
															
企业名称： 	石家庄杰克化工有限公司 														
统一社会信用代码： 	91130124731407250X 														
成立日期： 	2001 年 8 月 17 日 														
类型： 	有限责任公司 														
住所： 	石家庄市栾城区窦妪工业区 														
注册资本： 	1,048.9422万元人民币 														
经营范围： 	甲醇，乙醇、甲醛生产（有效期至 2017 年 11 月 30 日）；生产销售苯胺基乙腈、苯基甘氨酸钾、乙二胺四乙酸、乙二胺四乙酸二钠、乙二胺四乙酸四钠、乙二胺四乙酸铁钠、乙二胺四乙酸锌钠、乙二胺四乙酸锰钠、乙二胺四乙酸钙钠、乙二胺四乙酸铜钠、乙二胺四乙酸镁钠、乙二胺四乙酸三钠、液体乙二胺四乙酸四钠、氨基三乙酸、氨基三乙酸三钠、液体氨基三乙酸三钠、液体乙二胺四乙酸锌钠、液体乙二胺四乙酸锰钠、液体乙二胺四乙酸二钾、硫氰酸钠、液体硫氰酸钠、丙二胺四乙酸、巴比妥酸、乙氧甲叉、4，6-2 羟基嘧啶、二乙烯三胺五乙酸、二乙烯三胺五乙酸五钠、羟乙基乙二胺三乙酸、羟乙基乙二胺三乙酸三钠；经销有机化工产品、无机化工产品、精细化工产品（危险化学品除外，国家法律、法规限制或禁止的除外，需办理审批手续的办理后方可经营），经营本企业自产的化工产品出口，进口本企业生产、科研所需的原辅材料、机械设备、仪器仪表及配件** 														
股权结构： 	河北诚信有限责任公司持股 100% 														
实际控制人 或主要股东： 	实际控制人为褚现英、王晓燕、褚冰、褚洁 														
与公司合作起始年份： 	2009年 														
合作历史及背景： 	见“河北诚信有限责任公司” 														
															
企业名称： 	河北山立化工有限公司 														
统一社会信用代码： 	911309310931496716 														
成立日期： 	2014 年 3 月 7 日 														
类型： 	有限责任公司 														
住所： 	中捷农场十八队 														
注册资本： 	6,000万元人民币 														
经营范围： 	生产销售灭多威、高效氯氰菊酯、氯氰菊酯（试生产），生产、销售百草枯、21.7%氰化钠、次氯酸钠、18%氨水（安全生产许可证有效期至 2020 年 4 月 9 日）、西玛津、莠灭净、莠去津，经销化工产品（危险化学品、易制毒化学品、监控化学品除外），货物进出口（依法须经批准的项目，经相关部门批准后方可开展经营活动）。*** 														
股权结构： 	河北临港化工有限公司持股100% 														
实际控制人 或主要股东： 	2017年6月29日河北临港化工有限公司收购该公司100%股权后，实际控制人变更为褚现英、王晓燕、褚冰、褚洁 														
与公司合作起始年份： 	2016年 														
合作历史及背景： 	基于成本等因素，公司于2016年一季度暂停了莠去津原药生产线并主要通过外部采购满足生产、销售需求，河北山立化工有限公司为国内三嗪类除草剂产品的三大生产商之一，基于该公司在莠去津等原药方面的产能优势以及公司对于该原药的需求，双方于2016年建立莠去津原药的采购合作关系，目前河北山立化工有限公司已成为公司主要莠去津原药供应商。 														
															
企业名称： 	安徽广信农化股份有限公司 														
统一社会信用代码： 	91341822750989073A 														
成立日期： 	2000 年 3 月 15 日 														
类型： 	其他股份有限公司（上市） 														
住所： 	安徽省宣城市广德县新杭镇彭村村 														
注册资本： 	46,467.9135万元人民币 														
经营范围： 	生物化学农药及微生物农药制造销售，兽用药品（阿苯达唑）制造销售，光气、多菌灵、甲醇、二甲苯、氯化钠、农药原药、农药制剂、副产盐酸制造、销售；经营本企业和本企业成员企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件及相关														
															
技术的进口业务（国家限定公司经营或禁止进口的商品除外）；经营本企业的进料加工和“三来一补”业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。 															
安徽广信农化股份有限公司系上市公司，股票代码：603599，截至2018年1月9日，控股股东为安徽广信控股有限公司，持股比例42.06% 															
实际控制人为黄金祥、赵启荣 															
2010年 															
公司与广信股份的合作开始于2010年，当时公司主要的敌草隆原药供应商宁夏三喜科技有限公司因为生产装置停车无法供应敌草隆原药，鉴于广信股份的敌草隆、多菌灵产能在国内靠前，公司主动寻求与其合作，并于2010年开始向其进行采购，随着业务规模的增加，公司与广信股份在草甘膦、敌草隆、多菌灵、甲托等多个产品上均有较为紧密的合作，并建立了长期稳定的合作关系。 															
															
股权结构： 															
实际控制人 或主要股东： 															
与公司合作起始年份： 															
合作历史及背景： 															
															
企业名称： 	四川和邦生物科技股份有限公司 														
统一社会信用代码： 	91511100740039656L 														
成立日期： 	2002 年 8 月 1 日 														
类型： 	其他股份有限公司（上市） 														
住所： 	乐山市五通桥区牛华镇沔坝村 														
注册资本： 	883,125.0228万元人民币 														
经营范围： 	制造、销售草甘膦、蛋氨酸、农药、工业碳酸钠、食用碳酸钠、氯化铵、化肥（农用氯化铵）、液氨、碳酸钙；化工新产品开发；生产工艺中的废气、废渣、废水治理；对外投资；化工技术咨询；自营和代理各类商品和技术的进出口（国家限定或禁止公司经营的商品和技术除外）（依法须经批准的项目，经相关部门批准后方可开展经营活动）。 														
股权结构： 	四川和邦生物科技股份有限公司系上市公司，股票代码：603077，截至2017年9月30日，控股股东为四川和邦投资集团有限公司，持股比例33.250% 														
实际控制人 或主要股东： 	实际控制人为贺正刚 														
与公司合作起始年份： 	2014年 														
合作历史及背景： 	和邦生物的子公司乐山和邦农业科技有限公司是国内最大的双甘膦生产企业，年产能为15万吨，生产工艺先进，拥有从配套原料装置到最终产品装置的完整产业链，使得其亚氨基二乙腈和双甘膦成本较低，基于价格及供应的稳定性，公司于2014年与乐山和邦农业科技有限公司建立业务联系并采购双甘膦，期后随着和邦生物于2015年末开始自产草甘膦，公司转而向和邦生物至直接采购草甘膦原药，基于其生产规模及成本优势，和邦生物														
															
企业名称： 	山东亿尔化学有限公司 														
统一社会信用代码： 	91371602754482739W 														
成立日期： 	2003 年 9 月 22 日 														
类型： 	有限责任公司 														
住所： 	山东省滨州市滨城区秦皇台东南、永莘路南侧 														
注册资本： 	5,041万元人民币 														
经营范围： 	精细化工产品（凭工业生产许可证、农药生产批准证书、危险化学品经营许可证和安全生产许可证许可的范围）生产、销售（有限期限以许可证为准）；土壤修复技术研发、咨询、服务，土壤改良剂销售；现代农业技术推广、服务；农业经济作物的加工、销售；备案范围内的进出口业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动） 														
股权结构： 	山东侨昌化学有限公司持股100% 														
实际控制人 或主要股东： 	实际控制人为安笑南 														
与公司合作起始年份： 	2005年 														
合作历史及背景： 	山东亿尔化学有限公司是侨昌农业集团有限公司下属公司，该集团是国内知名的农化企业，产品品种齐全，农药原药品种20余个，年生产能力8万吨；农药制剂有300多个品种，700多个规格，年生产能力达10万吨。公司与该集团同为山东省内知名农化企业，物流较为便利，从成立初期就开始在酰胺类、三嗪类等产品方面开始合作，且合作关系较为稳定，是公司酰胺类、三嗪类、百草枯等原药的重要供应商。 														
															
企业名称： 	南通泰禾化工股份有限公司 														
统一社会信用代码： 	913206237605413284 														
成立日期： 	2004 年 4 月 29 日 														
类型： 	股份有限公司（台港澳与境内合资、未上市） 														
住所： 	江苏省如东县洋口化学工业园区 														
注册资本： 	40,500万元人民币 														
经营范围： 	生产农药及中间体（野麦畏、茵达灭、2,4-二氯苯氧乙酸、禾草丹、苄草丹、磺草灵、氟咯草酮、氰氟草酯、氯苯胺灵、嘧菌酯及副产醋酸甲酯、乙酸、氯化钠、氯化钾、草甘膦及其副产品氯甲烷、甲缩醛、盐酸、亚磷酸、废硫酸）；生产农药制剂（具体品种按法定文件核定的经营范围）、工业焦磷酸钠、工业磷酸三														
															
钠；甲酸甲酯批发；农药及精细化学品的研发及相关技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 															
泰禾集团有限公司持股76.39%，其他股东为深圳诺普信农化股份有限公司、上海鋆麟投资管理有限公司、上海鋆领投资管理有限公司、杭州恒丰君南投资合伙企业（有限合伙）、南通昆吾产业投资基金中心（有限合伙） 															
实际控制人为田晓宏 															
2012年 															
南通泰禾化工股份有限公司是一家专注于作物保护及新材料领域，并在核心产品上拥有行业领导地位的制造企业，是中国化工500强企业，在百菌清、2,4-D、嘧菌酯、硫代氨基甲酸酯系列等农药原药的生产规模及综合技术水平方面居于国内领先水平；其子公司江西天宇化工有限公司是国内最大的2,4-D生产企业，在产品质量、价格、交付能力方面具有较大优势；其控股子公司江苏新河农用化工有限公司是国内主要的百菌清原药和间苯二甲胺生产企业，目前年百菌清原药产能约为8,000吨/年。 基于业务发展及原药需求，公司于2012年起开始逐步与南通泰禾化工股份有限公司及其子公司江西天宇化工有限公司、上海泰禾国际贸易有限公司、江苏新河农用化工有限公司建立合作关系，主要采购2,4-D、百菌清、嘧菌酯等原药。 															
															
股权结构： 															
实际控制人 或主要股东： 															
与公司合作起始年份： 															
合作历史及背景： 															
															
企业名称： 	江西天宇化工有限公司 														
统一社会信用代码： 	91360824060765267T 														
成立日期： 	2013 年 1 月 17 日 														
类型： 	有限责任公司 														
住所： 	江西省吉安市新干县盐化工业城 														
注册资本： 	12,000万元人民币 														
经营范围： 	烧碱、盐、盐酸、氯气、氢气、次氯酸钠、1,1,2,3-四氯丙烯、2，4-二氯苯氧乙酸系列产品(2,4-滴原药（≥96.0%）、 2,4-滴二甲胺盐水剂 480g/L(42.5%)、2,4-滴二甲胺盐水剂 600g/L(51.3%)、2,4-滴二甲胺盐水剂 55%、2,4-滴二甲胺盐水剂 720g/L(60.0%)、2,4-滴二甲胺盐水剂 860g/L(70.0%))生产、销售、研发；自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）。（以上项目待取得生产许可证后方可经营） 														
股权结构： 	上海泰禾国际贸易有限公司持股100% 														
实际控制人 或主要股东： 	实际控制人为田晓宏 														
与公司合作起始年份： 	2012年 														
合作历史及背景： 	见“南通泰禾化工股份有限公司” 														
企业名称： 	上海泰禾国际贸易有限公司 														
统一社会信用代码： 	91310000607413012A 														
成立日期： 	2000 年 1 月 19 日 														
类型： 	有限责任公司 														
住所： 	上海市长宁区北翟路785号 														
注册资本： 	17,000万元人民币 														
经营范围： 	农药及精细化学品的研发，农药、化肥、农用机械、化学品（危险化学品限许可证许可范围）的批发，贸易经纪与代理，从事货物与技术的进出口业务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】 														
股权结构： 	南通泰禾化工股份有限公司持股100% 														
实际控制人 或主要股东： 	实际控制人为田晓宏 														
与公司合作起始年份： 	2012年 														
合作历史及背景： 	见“南通泰禾化工股份有限公司” 														
															
企业名称： 	江苏新河农用化工有限公司 														
统一社会信用代码： 	91320300608107527E 														
成立日期： 	1995 年 4 月 28 日 														
类型： 	有限责任公司 														
住所： 	新沂市经济开发区新港路19号 														
注册资本： 	6,527.211413万元人民币 														
经营范围： 	农药生产、销售（按《全国工业产品生产许可证》核定范围）。间苯二甲腈生产、销售；自营和代理各类商品及技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 														
股权结构： 	南通泰禾化工股份有限公司持股51%，利民化工股份有限公司持股34%，SDS Biotechk.k持股15% 														
实际控制人 或主要股东： 	实际控制人为田晓宏 														
与公司合作起始年份： 	2012年 														
合作历史及背景： 	见“南通泰禾化工股份有限公司” 														
类型： 	有限责任公司 														
住所： 	河北省石家庄市晋州市马于村 														
注册资本： 	5,000万元人民币 														
经营范围： 	农药及化工产品的技术研发和工艺研发；农药中间体生产和销售；农药的生产和销售（凭许可证经营）（全国工业产品生产许可证有效期至 2022 年 04 月 26 日；中华人民共和国农药生产批准证书有效期至 2019 年 1 月 5 日）；自营和代理各类商品和技术的进出口业务（依法须经批准的项目，经相关部门批准后方可开展经营活动） 														
股权结构： 	张涛持股38.5%，董志鹏持股17.5%，石新春17%，赵郁持股13.5%，苑立刚持股10%，关从巧持股6.5% 														
实际控制人 或主要股东： 	主要股东为张涛、董志鹏、石新春 														
与公司合作起始年份： 	2014年 														
合作历史及背景： 	河北兰升生物科技有限公司主要是以新型高端高效低毒农药的研究开发及其产业化为主的高新技术企业，成功开发出啶酰菌胺、芸苔素内酯、苯噻菌胺、烯草酮、氰氟虫腙、对二氯苯等多种产品。根据市场及销售需求，并综合价格、质量等因素，公司于2014年9月开始向其采购烯草酮，目前该公司已成为公司主要合作供应商。 														
															
企业名称： 	河北兰升生物科技有限公司 														
统一社会信用代码： 	911301830932841011 														
成立日期： 	2014 年 3 月 7 日 														
类型： 	有限责任公司 														
住所： 	河北省石家庄市晋州市马于村 														
注册资本： 	5,000万元人民币 														
经营范围： 	农药及化工产品的技术研发和工艺研发；农药中间体生产和销售；农药的生产和销售（凭许可证经营）（全国工业产品生产许可证有效期至 2022 年 04 月 26 日；中华人民共和国农药生产批准证书有效期至 2019 年 1 月 5 日）；自营和代理各类商品和技术的进出口业务（依法须经批准的项目，经相关部门批准后方可开展经营活动） 														
股权结构： 	张涛持股38.5%，董志鹏持股17.5%，石新春17%，赵郁持股13.5%，苑立刚持股10%，关从巧持股6.5% 														
实际控制人 或主要股东： 	主要股东为张涛、董志鹏、石新春 														
与公司合作起始年份： 	2014年 														
合作历史及背景： 	河北兰升生物科技有限公司主要是以新型高端高效低毒农药的研究开发及其产业化为主的高新技术企业，成功开发出啶酰菌胺、芸苔素内酯、苯噻菌胺、烯草酮、氰氟虫腙、对二氯苯等多种产品。根据市场及销售需求，并综合价格、质量等因素，公司于2014年9月开始向其采购烯草酮，目前该公司已成为公司主要合作供应商。 														
															
企业名称： 	山东滨农科技有限公司 														
统一社会信用代码： 	913716027563671878 														
成立日期： 	2003 年 10 月 28 日 														
类型： 	有限责任公司 														
住所： 	滨州市滨北办事处永莘路518号 														
注册资本： 	12,500万元人民币 														
经营范围： 	精细化工及农药（产品的名称及生产类型按农药生产批准证书、全国工业产品生产许可证、属危险化学品的按安全生产许可证许可范围）开发、研制、生产、销售(有效期限以许可证为准)；经营本企业自产产品及技术的出口业务和本企业所需的机械设备、零配件、原辅料及技术的进口业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动) 														
股权结构： 	黄延昌持股66%，滨州美亚建材科技有限公司持股10.048%，山东滨州鑫农投资股份有限公司持股4.952%，张玉瑞持股4%，李华持股3%，徐家俊持股3%，闫勇持股2%，黄梦斓持股2%，张茂贵持股2%，王红良持股2%，尹可敬持股0.5%，持股0.5%， 														
实际控制人 或主要股东： 	实际控制人为黄延昌 														
与公司合作起始年份： 	2011年 														
合作历史及背景： 	山东滨农科技有限公司是以研发、生产、销售为一体的专业植保														
															
企业名称： 	利尔化学股份有限公司 														
统一社会信用代码： 	91510700620960125J 														
成立日期： 	2000 年 7 月 26 日 														
类型： 	股份有限公司(台港澳与境内合资、上市) 														
住所： 	四川省绵阳经济技术开发区 														
注册资本： 	52,437.303万元人民币 														
经营范围： 	农药原药、制剂、化工材料及化工产品的研发、生产、销售；经营本企业自产产品的出口业务；经营本企业所需机械设备、仪器仪表、零配件及相关技术的进口业务；经营本企业的加工贸易业务；技术转让、技术检测及咨询；投资管理及咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 														
股权结构： 	利尔化学股份有限公司系上市公司，股票代码：002258，截至2017年9月30日，第一大股东四川久远投资控股集团有限公司持股比例为27.36% 														
实际控制人 或主要股东： 	实际控制人为中国工程物理研究院 														
与公司合作起始年份： 	2011年 														
合作历史及背景： 	利尔化学股份有限公司主要从事氯代吡啶类、有机磷类、磺酰脲类、取代脲类等高效、安全农药的研发、生产和销售，产品包括除草剂、杀虫剂、杀菌剂三大系列共 30 余个原药、90  余个制剂品种以及部分化工中间体，是国内最大的氯代吡啶类除草剂系列产品的研发及生产基地，也是国内规模最大的草铵膦生产企业。随着公司业务的发展和市场渠道的完善，公司与利尔化学从2011 年开始进行合作，采购的产品种类及规模逐步增长，已经发展成为战略伙伴级合作关系，后续依然有较大的合作发展空间。公司与其控股子公司江苏快达农化股份有限公司主要在敌草隆、异菌脲、二氯喹啉酸等产品上进行合作。 														
统一社会信用代码： 	9132000013865017X0 														
成立日期： 	1994 年 6 月 29 日 														
类型： 	股份有限公司(非上市) 														
住所： 	江苏省如东沿海经济开发区（洋口化学工业园） 														
注册资本： 	12,624.4898万元人民币 														
经营范围： 	除草剂、杀虫剂、杀菌剂的生产和销售，以电解为基础的氯气、氢气、氧气、氮气、光气及萘系列化工产品制造、加工、销售，气瓶充装、检验，化工产品的生产和销售，自营和代理各类商品和技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 														
股权结构： 	江苏快达农化股份有限公司系全国股份转让系统挂牌公司，股票代码：870536，控股股东为利尔化学股份有限公司，持股比例51% 														
实际控制人 或主要股东： 	实际控制人为中国工程物理研究院 														
与公司合作起始年份： 	2011年 														
合作历史及背景： 	见“利尔化学股份有限公司” 														
															
企业名称： 	江苏快达农化股份有限公司 														
统一社会信用代码： 	9132000013865017X0 														
成立日期： 	1994 年 6 月 29 日 														
类型： 	股份有限公司(非上市) 														
住所： 	江苏省如东沿海经济开发区（洋口化学工业园） 														
注册资本： 	12,624.4898万元人民币 														
经营范围： 	除草剂、杀虫剂、杀菌剂的生产和销售，以电解为基础的氯气、氢气、氧气、氮气、光气及萘系列化工产品制造、加工、销售，气瓶充装、检验，化工产品的生产和销售，自营和代理各类商品和技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 														
股权结构： 	江苏快达农化股份有限公司系全国股份转让系统挂牌公司，股票代码：870536，控股股东为利尔化学股份有限公司，持股比例51% 														
实际控制人 或主要股东： 	实际控制人为中国工程物理研究院 														
与公司合作起始年份： 	2011年 														
合作历史及背景： 	见“利尔化学股份有限公司” 														
															
企业名称： 	江苏腾钰化工有限公司 														
统一社会信用代码： 	9132072368715796XD 														
成立日期： 	2009 年 3 月 26 日 														
类型： 	有限责任公司 														
住所： 	灌云县临港产业区纬二路北侧 														
注册资本： 	500万元人民币 														
经营范围： 	危险化学品生产（2,4-二氯苯酚，1,2-二氯苯，氯苯）；化工产品生产（对二氯苯、苯氧乙酸、邻氨基异丙胺基苯甲酰胺、苄磺胺、多氯苯酚、咪唑烷、甲基-硝基胍、恶二嗪、噻吩-2,5-二羧酸、2-氯-5-氯甲基噻唑）（不含危险化学品）；化工产品销售（危险化学品除外），自营和代理各类商品及技术的进出口业务，但国家限定企业经营或禁止进出口的商品和技术除外。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 														
股权结构： 	卜亚兵持股80%、孙春梅持股20% 														
实际控制人 或主要股东： 	主要股东为卜亚兵 														
与公司合作起始年份： 	2014年 														
合作历史及背景： 	江苏腾钰化工有限公司位于连云港灌云县临港产业区，拥有 2,4-二氯酚等化工产品的生产能力，基于订单及生产需求，公司于2014 年起与其建立采购合作关系，向其采购相关农化产品。 														
企业名称： 	湖北泰盛化工有限公司 														
统一社会信用代码： 	914205007775858107 														
成立日期： 	2005 年 9 月 12 日 														
类型： 	有限责任公司 														
住所： 	宜昌市猇亭区猇亭大道66-4号 														
注册资本： 	20,000万元人民币 														
经营范围： 	生产销售三氯化磷、氯甲烷、盐酸（折百）、废硫酸、亚磷酸、甲缩醛、草甘膦制剂、三氯氧磷、亚磷酸二甲酯（安全生产许可证有效期至 2018 年 3 月 29 日）及相关化学产品（不含需前置许可项目）；生产销售草甘膦可溶粉（粒）剂（加工）、草甘膦水剂（加工）、草甘膦原药（生产）（农药生产许可证有效期至 2018年 10 月 13 日）；粗品焦磷酸钠、副产氯化钠、副产氨溶液（含氨<10%）、副产硫酸氨生产销售及化工产品销售（不含危险爆炸化学品及国家限制经营的品种）；腐蚀品、易燃液体等（盐酸、硫酸、甲醇、氨、甲醚、甲苯、乙醚、乙醛、氢、氯甲烷、锌粉、双氧水、乙醇、甲缩醛、丙酮、丁酮、多聚甲醛、硅粉、氢氧化钠、醋酸、亚磷酸、对二甲苯）销售（不带储存设施经营，危险化学品经营许可证有效期至 2018 年 7 月 2 日）；化工及环保新技术新产品的研究开发及成果转让、技术咨询与服务（依法须经批准的项目，经相关部门批准后方可开展经营活动） 														
股权结构： 	湖北兴发化工集团股份有限公司（股票代码：600141）持股51%，志弘国际有限公司持股25%，宜昌楚磷化工有限公司持股24% 														
实际控制人 或主要股东： 	实际控制人为兴山县国有资产管理局 														
与公司合作起始年份： 	2015年 														
合作历史及背景： 	湖北泰盛化工有限公司系兴发集团（股票代码：600141）控股子公司，基于兴发集团的磷化工方面的成本优势，该供应商的草甘膦原药价格具有竞争力，公司从 2015 年开始向湖北泰盛化工有限公司采购草甘膦原药。 														
															
企业名称： 	北京四合科技有限公司 														
统一社会信用代码： 	91110105074130983H 														
成立日期： 	2013 年 7 月 29 日 														
类型： 	有限责任公司 														
住所： 	北京市朝阳区朝阳门外大街甲6号19层2座1901 														
注册资本： 	5,000万元人民币 														
经营范围： 	技术推广服务；经济贸易咨询；货物进出口；销售机械设备、建筑材料、日用品、五金交电、工艺品、化工产品（不含危险化学品）、农药（不含危险化学品农药）、纺织品、服装；出租办公用房。（企业依法自主选择经营项目，开展经营活动；依法须经批														
															
准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。） 															
魏振杰持股60%、耿会平持股40% 															
主要股东为魏振杰 															
2015年 															
北京四合科技有限公司为农药贸易公司，在莠去津采购渠道方面具有一定的优势，公司基于采购价格与其在 2015 年末建立莠去津原药采购合作业务。  2016 年末，由于该供应商的上游渠道有所变化，价格不再具有优势，公司停止了向该供应商的采购。 															
															
股权结构： 															
实际控制人 或主要股东： 															
与公司合作起始年份： 															
合作历史及背景： 															
															
企业名称： 	上海上实国际贸易（集团）有限公司 														
统一社会信用代码： 	91310000132203600N 														
成立日期： 	1988 年 5 月 10 日 														
类型： 	有限责任公司 														
住所： 	上海市漕溪北路18号30楼 														
注册资本： 	25,000万元人民币 														
经营范围： 	纺织品，轻工业品，机械设备，仪器仪表，钢材等商品进出口，中外合资合作，三来一补，转口贸易，酒类批发，除专项规定外国内商业批发零售（含生产资料），化学危险品，仓储，燃料油（除化学危险品），煤炭及制品批发，批发：预包装食品（不含熟食卤味、冷冻冷藏）；乳制品（含婴幼儿配方乳粉）；国际航空货物运输代理，国际海上货物运输代理，汽车销售，炉具销售。【依法须经批准的项目，经相关部门批准后方可开展经营活动】 														
股权结构： 	上海纺织（集团）有限公司持股100% 														
实际控制人 或主要股东： 	实际控制人为上海市国有资产监督管理委员会 														
与公司合作起始年份： 	2014年 														
合作历史及背景： 	上海上实国际贸易（集团）有限公司及其子公司上海康健进出口有限公司为大型国有贸易公司，业务范围广泛，在农化产品方面也具有一定的渠道优势，基于价格及产品需求，公司于 2014 年开始与该供应商进行合作，通过其采购相关产品。 														
住所： 	中国（上海）自由贸易试验区张杨路228号星星幢1205室 														
注册资本： 	3,000万元人民币 														
经营范围： 	从事货物与技术的进出口业务，自有设备租赁（不得从事金融租赁），化妆品、钢材、计算机软硬件、实验室设备、食用农产品、汽车、纸浆、木浆、纸制品、包装材料、饲料、食品添加剂的销售，兽用化学药品、抗生素、兽用非强制免疫用生物制品的销售，医疗器械经营，食品流通，危险化学品（范围见许可证）、中成药、化学药制剂、化学原料药、抗生素、生化药品、生物制品的批发，商务咨询，企业管理咨询，市场营销策划，国际和国内货物运输代理服务，代理报检。【依法须经批准的项目，经相关部门批准后方可开展经营活动】 														
股权结构： 	上海上实国际贸易（集团）有限公司持股 100% 														
实际控制人 或主要股东： 	实际控制人为上海市国有资产监督管理委员会 														
与公司合作起始年份： 	2014年 														
合作历史及背景： 	见“上海上实国际贸易（集团）有限公司” 														
															
企业名称： 	上海康健进出口有限公司 														
统一社会信用代码： 	91310000132207302Q 														
成立日期： 	1992 年 10 月 23 日 														
类型： 	有限责任公司 														
住所： 	中国（上海）自由贸易试验区张杨路228号星星幢1205室 														
注册资本： 	3,000万元人民币 														
经营范围： 	从事货物与技术的进出口业务，自有设备租赁（不得从事金融租赁），化妆品、钢材、计算机软硬件、实验室设备、食用农产品、汽车、纸浆、木浆、纸制品、包装材料、饲料、食品添加剂的销售，兽用化学药品、抗生素、兽用非强制免疫用生物制品的销售，医疗器械经营，食品流通，危险化学品（范围见许可证）、中成药、化学药制剂、化学原料药、抗生素、生化药品、生物制品的批发，商务咨询，企业管理咨询，市场营销策划，国际和国内货物运输代理服务，代理报检。【依法须经批准的项目，经相关部门批准后方可开展经营活动】 														
股权结构： 	上海上实国际贸易（集团）有限公司持股 100% 														
实际控制人 或主要股东： 	实际控制人为上海市国有资产监督管理委员会 														
与公司合作起始年份： 	2014年 														
合作历史及背景： 	见“上海上实国际贸易（集团）有限公司” 														
															
企业名称： 	浙江新安化工集团股份有限公司 														
统一社会信用代码： 	913300001429192743 														
成立日期： 	1993 年 5 月 12 日 														
类型： 	其他股份有限公司(上市) 														
住所： 	浙江省建德市新安江镇 														
注册资本： 	70,541.4633万元人民币 														
经营范围： 	化学试剂、磷酸、三氯化磷、三氯氧磷生产化工原料及产品、化工机械、农药、化肥、包装物的制造和经营，危险化学品经营（范围详见《危险化学品经营许可证》），本企业自产的化工原料及化工产品、农药及其中间体的出口业务，生产科研所需原辅材料、机械设备、仪器仪表、零配件等商品及相关技术的进口业务，开展“三来一补”业务，与上述业务相关的咨询、修理服务。化工工程、压力容器、压力管道设计，化工、石油化工工程的施工；压力容器制造、安装与修理改造，压力管道安装与修理改造，设备及机组的维修、保养、低压成套配电柜制造，发电（限分支机构经营）。农作物种子生产、销售（详见《农作物种子生产经营许可证》）。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 														
股权结构： 	浙江新安化工集团股份有限公司系上市公司，股票代码：600596，截至 2017 年 9 月 30 日，公司第一大股东为传化集团有限公司持股比例为 14.42% 														
实际控制人 	实际控制人为徐冠巨 														
或主要股东： 															
与公司合作起始年份： 	2012年 														
合作历史及背景： 	新安股份为中国化工 500 强企业，主营作物保护、有机硅材料两个产业，在农药业务方面开发形成以草甘膦原药及剂型产品为主导，杀虫剂、杀菌剂等多品种同步发展的产品群，根据生产需求，公司与新安股份自 2012 年起在敌草隆、草甘膦、多菌灵等产品方面建立了合作关系。 														
															
企业名称： 	镇江江南化工有限公司 														
统一社会信用代码： 	913211911413748073 														
成立日期： 	1979 年 12 月 20 日 														
类型： 	有限责任公司 														
住所： 	镇江新区国际化学工业园内 														
注册资本： 	45,000万元人民币 														
经营范围： 	危险化学品的生产（按《安全生产许可证》所核准的内容和要求生产经营）；出口本企业生产的农药、化工产品（国家有专项规定的除外）；进口本企业生产、科研所需的原辅材料、机械设备、仪器仪表及零配件；工业盐（副产）的生产；工业用复合磷酸盐、工业焦磷酸钠的生产；亚磷酸二甲酯高沸物、气相二氧化硅的生产；非饮用热水的生产、粗品焦磷酸钠的生产；有机硅材料及其制品的生产；化工产品（不含危险化学品）的销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 														
股权结构： 	浙江新安化工集团股份有限公司持股 100% 														
